region,zone,woreda,num_farmers
Addis Ababa,,Addis Ketema,0.0
Afar,Zone 1 (Awsi Rasu),Amibara,211.0
Afar,Zone 3 (Gabirasu),Gewane,89.0
Amhara,North Gondar,Gondar Zuria,101.0
Amhara,South Wollo,Dessie Zuria,93.0
Benishangul-Gumuz,Assosa,Assosa,95.0
Dire Dawa,,Dire Dawa Urban,0.0
Gambela,Nuer Zone,Itang,84.0
Harari,,Harar City,0.0
Oromia,Arsi,Asella,145.0
Oromia,Jimma,Jimma Town,106.0
SNNP,Gurage,Wolkite,82.0
Sidama,Hawassa City Admin,Hawassa,111.0
Somali,Jijiga,Jijiga,140.0
South West Ethiopia,Bench Sheko,Mizan Aman,131.0
Tigray,Central Tigray,Axum,99.0
Tigray,North Western Tigray,Laelay Adiabo,256.0
